#Query_id,Hit_xid,Hit_tcid,Hit_desc,Match_length,e-value,%_identity,Query_Length,Hit_Length,Q_start,Q_end,S_start,S_end,Query_Coverage,Hit_Coverage,Query_n_TMS,Hit_n_TMS,TM_Overlap_Score,Family_Abrv,Predicted_Substrate,Query_Pfam,Subject_Pfam
<<<<<<< HEAD
YP_499808.1,P18156,1.A.8.2.1,gnl|BL_ORD_ID|9270 gnl|TC-DB|P18156|1.A.8.2.1 GLYCEROL UPTAKE FACILITATOR PROTEIN - Bacillus subtilis.,262,2.54064e-110,59,272,274,1,262,1,262,96.0,95.3,7,7,7.0,MIP,CHEBI:5448;glycerol,PF00230,PF00230
YP_500751.1,Q8DSV1,1.A.11.1.9,gnl|BL_ORD_ID|16043 gnl|TC-DB|Q8DSV1|1.A.11.1.9 Ammonium transporter OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=nrgA PE=3 SV=1,408,3.19437e-113,43,416,411,1,402,1,403,96.4,97.8,11,11,11.0,Amt,CHEBI:7435;ammonium,PF00909,PF00909
YP_499231.1,O31539,1.A.14.2.3,gnl|BL_ORD_ID|7057 gnl|TC-DB|O31539|1.A.14.2.3 Uncharacterized protein YetJ OS=Bacillus subtilis GN=yetJ PE=3 SV=1,200,2.58236e-15,24,214,214,13,206,6,204,90.2,92.5,7,7,7.0,CaTA,CHEBI:3308;calcium(2+),PF01027,PF01027
YP_501149.1,Q5AST3,1.A.16.2.2,gnl|BL_ORD_ID|14273 gnl|TC-DB|Q5AST3|1.A.16.2.2 Formate/nitrate family transporter (Eurofung) OS=Emericella nidulans (strain FGSC A4 / M139) GN=AN8647.2 PE=4 SV=1,259,4.84829e-29,28,274,310,10,264,6,261,92.7,82.3,6,6,5.0,FNT,CHEBI:71263;nitrate,PF01226,PF01226
YP_498873.1,F0PTD8,1.A.16.3.5,gnl|BL_ORD_ID|4089 gnl|TC-DB|F0PTD8|1.A.16.3.5 Formate/nitrite transporter family protein OS=Bacillus thuringiensis subsp. finitimus (strain YBT-020) OX=930170 GN=YBT020_07190 PE=4 SV=1,248,7.26084e-31,31,274,283,21,264,9,252,88.7,85.9,6,6,6.0,FNT,CHEBI:15740;formate,PF01226,PF01226
YP_500469.1,A0CIB0,1.A.17.1.13,"gnl|BL_ORD_ID|39 gnl|TC-DB|A0CIB0|1.A.17.1.13 Chromosome undetermined scaffold_19, whole genome shotgun sequence OS=Paramecium tetraurelia GN=GSPATT00007662001 PE=4 SV=1",281,6.66202e-06,20,320,1371,35,299,120,386,82.5,19.4,1,7,0.0,CaClC,CHEBI:3731;chloride,"PF00639,PF13616,PF13145",PF04547
YP_499929.1,W7XF35,1.A.17.3.12,"gnl|BL_ORD_ID|20683 gnl|TC-DB|W7XF35|1.A.17.3.12 Transmembrane protein, putative OS=Tetrahymena thermophila (strain SB210) GN=TTHERM_000101449 PE=4 SV=1",111,9.15791e-05,25,133,995,23,132,754,855,82.0,10.2,4,8,2.0,CaClC,,,
YP_008530241.1,P68805,1.A.22.1.5,gnl|BL_ORD_ID|11252 gnl|TC-DB|P68805|1.A.22.1.5 Large-conductance mechanosensitive channel OS=Staphylococcus aureus (strain NCTC 8325) GN=mscL PE=3 SV=1,120,5.08618e-80,100,120,120,1,120,1,120,99.2,99.2,2,2,2.0,MscL,CHEBI:24870;ion,PF01741,PF01741
YP_498933.1,O34897,1.A.23.3.1,gnl|BL_ORD_ID|7158 gnl|TC-DB|O34897|1.A.23.3.1 YKUT PROTEIN - Bacillus subtilis.,242,7.86607e-42,35,293,267,30,271,26,258,82.3,86.9,2,2,2.0,MscS,CHEBI:25728;osmolyte,PF00924,PF00924
YP_499498.1,O34442,1.A.26.1.3,gnl|BL_ORD_ID|7133 gnl|TC-DB|O34442|1.A.26.1.3 Magnesium transporter MgtE OS=Bacillus subtilis (strain 168) GN=mgtE PE=3 SV=1,450,3.2728700000000004e-107,37,461,451,11,457,2,448,96.7,98.9,4,6,4.0,MgtE,CHEBI:6635;magnesium(2+),"PF01769,PF03448,PF00571,PF00571","PF01769,PF03448,PF00571,PF00571"
YP_501019.1,A1VEP3,1.A.28.1.4,gnl|BL_ORD_ID|204 gnl|TC-DB|A1VEP3|1.A.28.1.4 Urea transporter OS=Desulfovibrio vulgaris subsp. vulgaris (strain DP4) GN=Dvul_1892 PE=4 SV=1,289,1.00878e-38,29,296,337,4,288,20,308,95.9,85.5,10,11,5.0,UT,"CHEBI:9888;urea, CHEBI:80472;N,N'-dimethylurea",PF03253,PF03253
YP_501085.1,O31543,1.A.35.3.3,gnl|BL_ORD_ID|7059 gnl|TC-DB|O31543|1.A.35.3.3 Putative metal ion transporter YfjQ OS=Bacillus subtilis (strain 168) GN=yfjQ PE=3 SV=1,291,1.2814100000000001e-54,33,315,319,26,315,26,315,91.7,90.6,2,2,2.0,MIT,CHEBI:25213;metal cation,PF01544,PF01544
YP_501122.1,A3CLT2,1.A.35.3.4,"gnl|BL_ORD_ID|312 gnl|TC-DB|A3CLT2|1.A.35.3.4 Cation transporter CorA family, putative OS=Streptococcus sanguinis (strain SK36) GN=SSA_0701 PE=4 SV=1",304,9.067159999999999e-35,27,314,302,16,313,3,301,94.6,98.7,3,3,2.0,MIT,CHEBI:6635;magnesium(2+),PF01544,PF01544
YP_500405.1,I3YSC9,1.A.43.1.13,gnl|BL_ORD_ID|5313 gnl|TC-DB|I3YSC9|1.A.43.1.13 Putative fluoride ion transporter CrcB OS=Aequorivita sublithincola (strain DSM 14238 / LMG 21431 / ACAM 643 / 9-3) GN=crcB PE=3 SV=1,118,5.27345e-18,36,117,123,1,114,1,116,96.6,93.5,4,4,4.0,Fluc,"CHEBI:17051;fluoride, CHEBI:41334;(R)-camphor",PF02537,PF02537
YP_500404.1,Q7VYU0,1.A.43.1.17,gnl|BL_ORD_ID|15621 gnl|TC-DB|Q7VYU0|1.A.43.1.17 Putative fluoride ion transporter CrcB OS=Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) GN=crcB PE=1 SV=1,118,6.05334e-19,36,121,128,1,114,7,120,93.4,88.3,4,4,4.0,Fluc,CHEBI:49593;fluoride,PF02537,PF02537
YP_500827.1,W8TRQ6,1.A.77.3.20,gnl|BL_ORD_ID|20694 gnl|TC-DB|W8TRQ6|1.A.77.3.20 ATP synthase OS=Staphylococcus aureus GN=AA961_10650 PE=4 SV=1,117,3.41241e-83,100,150,117,34,150,1,117,77.3,99.1,5,4,4.0,MCU,CHEBI:3473;cation,PF03899,PF03899
YP_499726.1,WP_155315461,1.A.87.2.10,gnl|BL_ORD_ID|21994 gnl|TC-DB|WP_155315461|1.A.87.2.10 serine/threonine protein kinase [Desulfosarcina alkanivorans],265,1.55666e-43,35,664,399,9,271,5,267,39.5,65.7,1,2,0.0,MCA,,"PF00069,PF03793,PF03793,PF03793,PF07714,PF03109","PF00069,PF07714,PF08308"
YP_499408.1,P37908,1.A.112.2.5,gnl|BL_ORD_ID|10144 gnl|TC-DB|P37908|1.A.112.2.5 UPF0053 inner membrane protein YfjD OS=Escherichia coli (strain K12) GN=yfjD PE=1 SV=5,326,7.291700000000001e-41,30,346,428,1,314,9,327,90.5,74.3,4,4,4.0,CNNM,,PF01595,"PF01595,PF03471,PF00571"
YP_499270.1,T1Y8N2,1.A.112.2.10,gnl|BL_ORD_ID|20210 gnl|TC-DB|T1Y8N2|1.A.112.2.10 Magnesium and cobalt efflux protein corC OS=Staphylococcus aureus subsp. aureus CN1 OX=1193576 GN=SAKOR_00699 PE=4 SV=1,449,0.0,100,449,449,1,449,1,449,99.8,99.8,4,4,4.0,CNNM,CHEBI:18420;magnesium(2+),"PF01595,PF00571,PF00571,PF03471","PF01595,PF00571,PF00571,PF03471"
YP_499796.1,Q5QHR5,1.B.12.3.3,gnl|BL_ORD_ID|14456 gnl|TC-DB|Q5QHR5|1.B.12.3.3 Autotransporter adhesin OS=Aggregatibacter actinomycetemcomitans OX=714 GN=aae PE=4 SV=1,247,3.49727e-11,28,519,912,30,248,279,520,42.0,26.4,1,2,0.0,AT-1,,"PF12072,PF01966,PF00013,PF08668",
